Image_name,make,model,market_ids,car_ids,gen_ids,Genmodel_ID
29_34_Ford$$Transit Connect$$2015$$Silver$$29_36$$9$$image_0.jpg,Ford,Tourneo Connect,2013,29_34_2013,29_34_179,29_34
29_34_Ford$$Transit Connect$$2015$$Silver$$29_36$$9$$image_0.jpg,Ford,Tourneo Connect,2014,29_34_2014,29_34_179,29_34
29_34_Ford$$Transit Connect$$2015$$Silver$$29_36$$9$$image_0.jpg,Ford,Tourneo Connect,2015,29_34_2015,29_34_179,29_34
29_34_Ford$$Transit Connect$$2015$$Silver$$29_36$$9$$image_0.jpg,Ford,Tourneo Connect,2016,29_34_2016,29_34_179,29_34
29_34_Ford$$Transit Connect$$2015$$Silver$$29_36$$9$$image_0.jpg,Ford,Tourneo Connect,2017,29_34_2017,29_34_179,29_34
Abarth$$595$$2015$$White$$2_4$$202$$image_1.jpg,Abarth,595,2012,2_4_2012,2_4_3,2_4
Abarth$$595$$2015$$White$$2_4$$202$$image_1.jpg,Abarth,595,2013,2_4_2013,2_4_3,2_4
Abarth$$595$$2015$$White$$2_4$$202$$image_1.jpg,Abarth,595,2014,2_4_2014,2_4_3,2_4
Abarth$$595$$2015$$White$$2_4$$202$$image_1.jpg,Abarth,595,2015,2_4_2015,2_4_3,2_4
Abarth$$595$$2015$$White$$2_4$$202$$image_1.jpg,Abarth,595,2016,2_4_2016,2_4_3,2_4
Abarth$$595$$2015$$White$$2_4$$202$$image_1.jpg,Abarth,595,2017,2_4_2017,2_4_3,2_4
Alfa Romeo$$159$$2007$$Grey$$4_4$$48$$image_28.jpg,Alfa Romeo,159,2008,4_4_2008,4_4_4,4_4
Alfa Romeo$$159$$2007$$Grey$$4_4$$48$$image_28.jpg,Alfa Romeo,159,2009,4_4_2009,4_4_4,4_4
Alfa Romeo$$159$$2007$$Grey$$4_4$$48$$image_28.jpg,Alfa Romeo,159,2010,4_4_2010,4_4_4,4_4
Alfa Romeo$$159$$2007$$Grey$$4_4$$48$$image_28.jpg,Alfa Romeo,159,2011,4_4_2011,4_4_4,4_4
Alfa Romeo$$159$$2007$$Grey$$4_4$$48$$image_28.jpg,Alfa Romeo,159,2012,4_4_2012,4_4_4,4_4
Alfa Romeo$$Giulia$$2017$$White$$4_10$$107$$image_0.jpg,Alfa Romeo,Giulia,2016,4_10_2016,4_10_5,4_10
Alfa Romeo$$Giulia$$2017$$White$$4_10$$107$$image_0.jpg,Alfa Romeo,Giulia,2017,4_10_2017,4_10_5,4_10
Alfa Romeo$$Giulietta$$2015$$White$$4_11$$34$$image_12.jpg,Alfa Romeo,Giulietta,2010,4_11_2010,4_11_6,4_11
Alfa Romeo$$Giulietta$$2015$$White$$4_11$$34$$image_12.jpg,Alfa Romeo,Giulietta,2011,4_11_2011,4_11_6,4_11
Alfa Romeo$$Giulietta$$2015$$White$$4_11$$34$$image_12.jpg,Alfa Romeo,Giulietta,2012,4_11_2012,4_11_6,4_11
Alfa Romeo$$Giulietta$$2015$$White$$4_11$$34$$image_12.jpg,Alfa Romeo,Giulietta,2013,4_11_2013,4_11_6,4_11
Alfa Romeo$$Giulietta$$2015$$White$$4_11$$34$$image_12.jpg,Alfa Romeo,Giulietta,2014,4_11_2014,4_11_6,4_11
Alfa Romeo$$Giulietta$$2015$$White$$4_11$$34$$image_12.jpg,Alfa Romeo,Giulietta,2015,4_11_2015,4_11_6,4_11
Alfa Romeo$$Giulietta$$2016$$White$$4_11$$125$$image_6.jpg,Alfa Romeo,Giulietta,2016,4_11_2016,4_11_7,4_11
Alfa Romeo$$Giulietta$$2016$$White$$4_11$$125$$image_6.jpg,Alfa Romeo,Giulietta,2017,4_11_2017,4_11_7,4_11
Alfa Romeo$$MiTo$$2015$$White$$4_14$$106$$image_1.jpg,Alfa Romeo,MiTo,2009,4_14_2009,4_14_8,4_14
Alfa Romeo$$MiTo$$2015$$White$$4_14$$106$$image_1.jpg,Alfa Romeo,MiTo,2010,4_14_2010,4_14_8,4_14
Alfa Romeo$$MiTo$$2015$$White$$4_14$$106$$image_1.jpg,Alfa Romeo,MiTo,2011,4_14_2011,4_14_8,4_14
Alfa Romeo$$MiTo$$2015$$White$$4_14$$106$$image_1.jpg,Alfa Romeo,MiTo,2012,4_14_2012,4_14_8,4_14
Alfa Romeo$$MiTo$$2015$$White$$4_14$$106$$image_1.jpg,Alfa Romeo,MiTo,2013,4_14_2013,4_14_8,4_14
Alfa Romeo$$MiTo$$2015$$White$$4_14$$106$$image_1.jpg,Alfa Romeo,MiTo,2014,4_14_2014,4_14_8,4_14
Alfa Romeo$$MiTo$$2015$$White$$4_14$$106$$image_1.jpg,Alfa Romeo,MiTo,2015,4_14_2015,4_14_8,4_14
Alfa Romeo$$MiTo$$2015$$White$$4_14$$106$$image_1.jpg,Alfa Romeo,MiTo,2016,4_14_2016,4_14_8,4_14
Alfa Romeo$$MiTo$$2017$$White$$4_14$$334$$image_12.jpg,Alfa Romeo,MiTo,2017,4_14_2017,4_14_9,4_14
Audi$$A1$$2013$$White$$7_1$$508$$image_0.jpg,Audi,A1,2010,7_1_2010,7_1_10,7_1
Audi$$A1$$2013$$White$$7_1$$508$$image_0.jpg,Audi,A1,2011,7_1_2011,7_1_10,7_1
Audi$$A1$$2013$$White$$7_1$$508$$image_0.jpg,Audi,A1,2012,7_1_2012,7_1_10,7_1
Audi$$A1$$2013$$White$$7_1$$508$$image_0.jpg,Audi,A1,2013,7_1_2013,7_1_10,7_1
Audi$$A1$$2013$$White$$7_1$$508$$image_0.jpg,Audi,A1,2014,7_1_2014,7_1_10,7_1
Audi$$A1$$2013$$White$$7_1$$508$$image_0.jpg,Audi,A1,2015,7_1_2015,7_1_10,7_1
