clustering_ids,market_ids,car_ids,firm_ids,make,model,shares,quantity,trend,prices,mpg,hp,wt,len,wid,ht,wb,Doors,Seats,hpwt,space,ULSP,ULSD,CPI,mpd,region,Segment,Segment_Desc,low_share,Viz1,Viz2,Viz3,Viz4,Viz5,count,demand_instruments0,demand_instruments1,demand_instruments2,demand_instruments3,demand_instruments4,demand_instruments5,demand_instruments6,demand_instruments7,supply_instruments0,supply_instruments1,supply_instruments2,supply_instruments3,supply_instruments4,supply_instruments5,supply_instruments6,supply_instruments7,supply_instruments8,supply_instruments9
10_3,2016,10_3_2016,AggFirm,Bentley,Bentayga,4.06959241009116e-05,342,8,166.652184707051,2.825,513.5,545.202526,5140.0,2224.0,1742.0,2995.0,5.0,5.0,0.941851835807525,1.7718662573427,1.08192078527232,1.09651096172943,1.007,0.570525498266185,United Kingdom,7,J-segment (SUV),1,-0.43686143,-0.06348228,0.055425785,0.0970169,0.06968617,2,24.0,12.938995000837302,21.29540994372871,33.14903507172167,228.0,113.26920401333584,242.62543280218478,309.12803193593925,24.0,-15.702916731031879,35.06529117992066,7.4727604224967425,228.0,-171.47428916302792,373.460774621672,66.70500432308336,192.0,0.570525498266185
10_3,2017,10_3_2017,AggFirm,Bentley,Bentayga,6.45730006658721e-05,545,9,162.759912959381,2.85,513.5,545.202526,5140.0,2224.0,1742.0,2995.0,5.0,5.0,0.941851835807525,1.7718662573427,1.1364826662699,1.16254463621485,1.034,0.545382621902878,United Kingdom,7,J-segment (SUV),1,-0.43686143,-0.06348228,0.055425785,0.0970169,0.06968617,2,22.0,12.11884505130504,17.64220263780097,30.704338905013685,222.0,109.97142119087194,220.79175629174034,301.4317118632478,22.0,-13.948832189733356,30.975220480144586,7.113976660977671,222.0,-166.6956914362105,360.1301729954353,65.30679249170622,198.0,0.545382621902878
14_1,2008,14_1_2008,AggFirm,Cadillac,BLS,5.48542932834658e-06,44,0,30.1037485242031,3.46958333333333,187.666666666667,339.970775833333,4698.0,2038.0,1507.0,2675.0,4.5,5.0,0.552008231315353,1.48405579088733,1.26329579511398,1.38792344019617,0.847,0.575747744402867,United States,4,D-segment (mid-size),1,-0.43686143,-0.06348228,0.055425785,0.0970169,0.06968617,3,32.0,13.987170125400995,19.389931816424806,38.64990788310768,200.0,89.56335427014983,134.0917355742091,258.9670117390576,32.0,-28.776112923733084,39.99673659235646,5.096515818776343,200.0,-169.22315391273295,273.8582626284761,48.91356849424754,0.0,0.575747744402867
14_1,2009,14_1_2009,AggFirm,Cadillac,BLS,7.30829355061674e-06,59,1,29.4432736720554,3.46958333333333,187.666666666667,339.970775833333,4698.0,2038.0,1507.0,2675.0,4.5,5.0,0.552008231315353,1.48405579088733,1.15004441286196,1.20266033043169,0.866,0.648799429251962,United States,4,D-segment (mid-size),1,-0.43686143,-0.06348228,0.055425785,0.0970169,0.06968617,3,33.0,14.340026145340875,23.0751636107886,39.571869181665896,213.0,93.4177800649384,169.05648406240243,275.25555272575883,33.0,-29.792678242142262,42.049258595357706,5.014411357833538,213.0,-183.80587786589376,302.46984518772416,51.582099031021045,33.0,0.648799429251962
14_1,2010,14_1_2010,AggFirm,Cadillac,BLS,2.33575924468922e-06,19,2,28.2285438275371,3.54409090909091,181.909090909091,339.461375,4699.63636363636,2038.0,1510.27272727273,2675.0,4.54545454545455,5.0,0.535875667472009,1.48457270338851,1.30764713474445,1.3337183789365,0.894,0.590305615173941,United States,4,D-segment (mid-size),1,-0.43686143,-0.06348228,0.055425785,0.0970169,0.06968617,3,28.0,12.620118155174396,17.651171506261647,33.27241868349402,214.0,94.37263725704237,160.6099987299619,277.42249362605753,28.0,-24.791078063398494,36.21700557058765,3.9609277645806396,214.0,-183.05756953806645,317.1537321431801,52.59239746108761,56.0,0.590305615173941
14_2,2009,14_2_2009,AggFirm,Cadillac,CTS,1.98191011542149e-06,16,1,33.8331408775981,2.5,257.0,393.855363,4860.0,1842.0,1464.0,2880.0,4.0,5.0,0.652523804785667,1.38758287375104,1.15004441286196,1.20266033043169,0.866,0.467490882131833,United States,5,E-segment (mid-size luxury sedan),1,-0.43686143,-0.06348228,0.055425785,0.0970169,0.06968617,3,33.0,14.23951057187056,23.25647215790873,39.668342098802185,213.0,93.4177800649384,169.05648406240243,275.2555527257588,33.0,-29.959962905134695,42.377002373383334,5.081626803125273,213.0,-183.8058778658938,302.46984518772416,51.582099031021045,33.0,0.467490882131833
14_2,2008,14_2_2008,AggFirm,Cadillac,CTS,1.12201963534362e-06,9,0,34.5920897284534,2.5,257.0,393.855363,4860.0,1842.0,1464.0,2880.0,4.0,5.0,0.652523804785667,1.38758287375104,1.26329579511398,1.38792344019617,0.847,0.414853664755278,United States,5,E-segment (mid-size luxury sedan),1,-0.43686143,-0.06348228,0.055425785,0.0970169,0.06968617,3,32.0,13.886654551930683,19.550825896072396,38.74638080024397,200.0,89.56335427014983,134.0917355742091,258.9670117390576,32.0,-28.943397586725517,40.32448037038209,5.163731264068078,200.0,-169.22315391273295,273.8582626284761,48.91356849424755,0.0,0.414853664755278
14_2,2010,14_2_2010,AggFirm,Cadillac,CTS,9.83477576711251e-07,8,2,32.7734899328859,2.5,257.0,393.855363,4860.0,1842.0,1464.0,2880.0,4.0,5.0,0.652523804785667,1.38758287375104,1.30764713474445,1.3337183789365,0.894,0.416401293248259,United States,5,E-segment (mid-size luxury sedan),1,-0.43686143,-0.06348228,0.055425785,0.0970169,0.06968617,3,28.0,12.503470017860739,17.82507582818733,33.36940851313148,214.0,94.37263725704237,160.6099987299619,277.42249362605753,28.0,-24.988023513868573,36.56599652267669,4.028491459919426,214.0,-183.05756953806645,317.1537321431801,52.5923974610876,56.0,0.416401293248259
14_3,2008,14_3_2008,AggFirm,Cadillac,Escalade,3.7400654511454e-07,3,0,60.2939787485242,1.7,403.0,575.185358,5151.0,2008.0,1887.0,2946.0,5.0,7.0,0.7006437044943,1.60320217785784,1.26329579511398,1.38792344019617,0.847,0.282100492033589,United States,7,J-segment (SUV),1,-0.43686143,-0.06348228,0.055425785,0.0970169,0.06968617,3,32.0,13.838534652222048,19.683579068794085,38.530761496137174,200.0,89.56335427014983,134.09173557420914,258.9670117390576,32.0,-29.014549456103715,40.71014285119408,5.019291567400666,200.0,-169.22315391273295,273.8582626284761,48.91356849424755,0.0,0.282100492033589
14_3,2009,14_3_2009,AggFirm,Cadillac,Escalade,8.67085675496902e-07,7,1,65.161662817552,1.7,403.0,575.185358,5151.0,2008.0,1887.0,2946.0,5.0,7.0,0.7006437044943,1.60320217785784,1.15004441286196,1.20266033043169,0.866,0.317893799849646,United States,7,J-segment (SUV),1,-0.43686143,-0.06348228,0.055425785,0.0970169,0.06968617,3,33.0,14.191390672161928,23.406069240190917,39.45272279469539,213.0,93.4177800649384,169.05648406240243,275.25555272575883,33.0,-30.031114774512893,42.76266485419532,4.937187106457861,213.0,-183.80587786589376,302.4698451877241,51.582099031021045,33.0,0.317893799849646
