"clustering_ids","market_ids","Image_name","gen_ids","Price","hp","mpg","mpd","hpwt","space","wt","len","wid","Firm","Color","eswt","Gas_emission","in_uk_blp","shares","ht","wph","xi_fe","wb","make","Segment","Automaker","Region"
"10_3",2016,"Bentley$$Bentayga$$2016$$Blue$$10_3$$96$$image_2.jpg","10_3_56",166.652184707051,513.5,2.825,0.570525498266185,0.941851835807525,1.7718662573427,545.202526,5140,2224,1,1,1,1,TRUE,4.06959241009116e-05,1742,1.27669345579793,-1.829,2995,"Bentley",7,6,6
"10_3",2016,"Bentley$$Bentayga$$2016$$Blue$$10_3$$14$$image_5.jpg","10_3_56",166.652184707051,513.5,2.825,0.570525498266185,0.941851835807525,1.7718662573427,545.202526,5140,2224,1,1,1,1,TRUE,4.06959241009116e-05,1742,1.27669345579793,-1.829,2995,"Bentley",7,6,6
"10_3",2016,"Bentley$$Bentayga$$2016$$Grey$$10_3$$118$$image_2.jpg","10_3_56",166.652184707051,513.5,2.825,0.570525498266185,0.941851835807525,1.7718662573427,545.202526,5140,2224,1,1,1,1,TRUE,4.06959241009116e-05,1742,1.27669345579793,-1.829,2995,"Bentley",7,6,6
"10_3",2016,"Bentley$$Bentayga$$2016$$Blue$$10_3$$10$$image_2.jpg","10_3_56",166.652184707051,513.5,2.825,0.570525498266185,0.941851835807525,1.7718662573427,545.202526,5140,2224,1,1,1,1,TRUE,4.06959241009116e-05,1742,1.27669345579793,-1.829,2995,"Bentley",7,6,6
"10_3",2016,"Bentley$$Bentayga$$2016$$Black$$10_3$$67$$image_5.jpg","10_3_56",166.652184707051,513.5,2.825,0.570525498266185,0.941851835807525,1.7718662573427,545.202526,5140,2224,1,1,1,1,TRUE,4.06959241009116e-05,1742,1.27669345579793,-1.829,2995,"Bentley",7,6,6
"10_3",2016,"Bentley$$Bentayga$$2016$$Black$$10_3$$75$$image_8.jpg","10_3_56",166.652184707051,513.5,2.825,0.570525498266185,0.941851835807525,1.7718662573427,545.202526,5140,2224,1,1,1,1,TRUE,4.06959241009116e-05,1742,1.27669345579793,-1.829,2995,"Bentley",7,6,6
"10_3",2016,"Bentley$$Bentayga$$2016$$Black$$10_3$$69$$image_2.jpg","10_3_56",166.652184707051,513.5,2.825,0.570525498266185,0.941851835807525,1.7718662573427,545.202526,5140,2224,1,1,1,1,TRUE,4.06959241009116e-05,1742,1.27669345579793,-1.829,2995,"Bentley",7,6,6
"10_3",2016,"Bentley$$Bentayga$$2016$$Black$$10_3$$72$$image_8.jpg","10_3_56",166.652184707051,513.5,2.825,0.570525498266185,0.941851835807525,1.7718662573427,545.202526,5140,2224,1,1,1,1,TRUE,4.06959241009116e-05,1742,1.27669345579793,-1.829,2995,"Bentley",7,6,6
"10_3",2016,"Bentley$$Bentayga$$2016$$Black$$10_3$$126$$image_2.jpg","10_3_56",166.652184707051,513.5,2.825,0.570525498266185,0.941851835807525,1.7718662573427,545.202526,5140,2224,1,1,1,1,TRUE,4.06959241009116e-05,1742,1.27669345579793,-1.829,2995,"Bentley",7,6,6
"10_3",2016,"Bentley$$Bentayga$$2016$$Grey$$10_3$$41$$image_11.jpg","10_3_56",166.652184707051,513.5,2.825,0.570525498266185,0.941851835807525,1.7718662573427,545.202526,5140,2224,1,1,1,1,TRUE,4.06959241009116e-05,1742,1.27669345579793,-1.829,2995,"Bentley",7,6,6
"10_3",2016,"Bentley$$Bentayga$$2016$$Silver$$10_3$$3$$image_5.jpg","10_3_56",166.652184707051,513.5,2.825,0.570525498266185,0.941851835807525,1.7718662573427,545.202526,5140,2224,1,1,1,1,TRUE,4.06959241009116e-05,1742,1.27669345579793,-1.829,2995,"Bentley",7,6,6
"10_3",2016,"Bentley$$Bentayga$$2016$$Green$$10_3$$47$$image_16.jpg","10_3_56",166.652184707051,513.5,2.825,0.570525498266185,0.941851835807525,1.7718662573427,545.202526,5140,2224,1,1,1,1,TRUE,4.06959241009116e-05,1742,1.27669345579793,-1.829,2995,"Bentley",7,6,6
"10_3",2016,"Bentley$$Bentayga$$2016$$White$$10_3$$11$$image_0.jpg","10_3_56",166.652184707051,513.5,2.825,0.570525498266185,0.941851835807525,1.7718662573427,545.202526,5140,2224,1,1,1,1,TRUE,4.06959241009116e-05,1742,1.27669345579793,-1.829,2995,"Bentley",7,6,6
"10_3",2016,"Bentley$$Bentayga$$2016$$Black$$10_3$$112$$image_2.jpg","10_3_56",166.652184707051,513.5,2.825,0.570525498266185,0.941851835807525,1.7718662573427,545.202526,5140,2224,1,1,1,1,TRUE,4.06959241009116e-05,1742,1.27669345579793,-1.829,2995,"Bentley",7,6,6
"10_3",2016,"Bentley$$Bentayga$$2016$$Grey$$10_3$$93$$image_2.jpg","10_3_56",166.652184707051,513.5,2.825,0.570525498266185,0.941851835807525,1.7718662573427,545.202526,5140,2224,1,1,1,1,TRUE,4.06959241009116e-05,1742,1.27669345579793,-1.829,2995,"Bentley",7,6,6
"10_3",2016,"Bentley$$Bentayga$$2016$$Grey$$10_3$$41$$image_24.jpg","10_3_56",166.652184707051,513.5,2.825,0.570525498266185,0.941851835807525,1.7718662573427,545.202526,5140,2224,1,1,1,1,TRUE,4.06959241009116e-05,1742,1.27669345579793,-1.829,2995,"Bentley",7,6,6
"10_3",2016,"Bentley$$Bentayga$$2016$$Silver$$10_3$$43$$image_11.jpg","10_3_56",166.652184707051,513.5,2.825,0.570525498266185,0.941851835807525,1.7718662573427,545.202526,5140,2224,1,1,1,1,TRUE,4.06959241009116e-05,1742,1.27669345579793,-1.829,2995,"Bentley",7,6,6
"10_3",2016,"Bentley$$Bentayga$$2016$$Blue$$10_3$$73$$image_3.jpg","10_3_56",166.652184707051,513.5,2.825,0.570525498266185,0.941851835807525,1.7718662573427,545.202526,5140,2224,1,1,1,1,TRUE,4.06959241009116e-05,1742,1.27669345579793,-1.829,2995,"Bentley",7,6,6
"10_3",2017,"Bentley$$Bentayga$$2017$$Grey$$10_3$$7$$image_2.jpg","10_3_56",162.759912959381,513.5,2.85,0.545382621902878,0.941851835807525,1.7718662573427,545.202526,5140,2224,1,1,1,1,TRUE,6.45730006658721e-05,1742,1.27669345579793,-1.829,2995,"Bentley",7,6,6
"10_3",2017,"Bentley$$Bentayga$$2017$$Grey$$10_3$$98$$image_4.jpg","10_3_56",162.759912959381,513.5,2.85,0.545382621902878,0.941851835807525,1.7718662573427,545.202526,5140,2224,1,1,1,1,TRUE,6.45730006658721e-05,1742,1.27669345579793,-1.829,2995,"Bentley",7,6,6
"10_3",2017,"Bentley$$Bentayga$$2017$$White$$10_3$$45$$image_5.jpg","10_3_56",162.759912959381,513.5,2.85,0.545382621902878,0.941851835807525,1.7718662573427,545.202526,5140,2224,1,1,1,1,TRUE,6.45730006658721e-05,1742,1.27669345579793,-1.829,2995,"Bentley",7,6,6
"10_3",2017,"Bentley$$Bentayga$$2017$$Blue$$10_3$$66$$image_1.jpg","10_3_56",162.759912959381,513.5,2.85,0.545382621902878,0.941851835807525,1.7718662573427,545.202526,5140,2224,1,1,1,1,TRUE,6.45730006658721e-05,1742,1.27669345579793,-1.829,2995,"Bentley",7,6,6
"10_3",2017,"Bentley$$Bentayga$$2017$$Blue$$10_3$$123$$image_2.jpg","10_3_56",162.759912959381,513.5,2.85,0.545382621902878,0.941851835807525,1.7718662573427,545.202526,5140,2224,1,1,1,1,TRUE,6.45730006658721e-05,1742,1.27669345579793,-1.829,2995,"Bentley",7,6,6
"10_3",2017,"Bentley$$Bentayga$$2017$$Blue$$10_3$$117$$image_5.jpg","10_3_56",162.759912959381,513.5,2.85,0.545382621902878,0.941851835807525,1.7718662573427,545.202526,5140,2224,1,1,1,1,TRUE,6.45730006658721e-05,1742,1.27669345579793,-1.829,2995,"Bentley",7,6,6
"10_3",2017,"Bentley$$Bentayga$$2017$$Grey$$10_3$$104$$image_3.jpg","10_3_56",162.759912959381,513.5,2.85,0.545382621902878,0.941851835807525,1.7718662573427,545.202526,5140,2224,1,1,1,1,TRUE,6.45730006658721e-05,1742,1.27669345579793,-1.829,2995,"Bentley",7,6,6
"10_3",2017,"Bentley$$Bentayga$$2017$$Grey$$10_3$$31$$image_2.jpg","10_3_56",162.759912959381,513.5,2.85,0.545382621902878,0.941851835807525,1.7718662573427,545.202526,5140,2224,1,1,1,1,TRUE,6.45730006658721e-05,1742,1.27669345579793,-1.829,2995,"Bentley",7,6,6
"10_3",2017,"Bentley$$Bentayga$$2017$$Blue$$10_3$$86$$image_3.jpg","10_3_56",162.759912959381,513.5,2.85,0.545382621902878,0.941851835807525,1.7718662573427,545.202526,5140,2224,1,1,1,1,TRUE,6.45730006658721e-05,1742,1.27669345579793,-1.829,2995,"Bentley",7,6,6
"10_3",2017,"Bentley$$Bentayga$$2017$$White$$10_3$$51$$image_16.jpg","10_3_56",162.759912959381,513.5,2.85,0.545382621902878,0.941851835807525,1.7718662573427,545.202526,5140,2224,1,1,1,1,TRUE,6.45730006658721e-05,1742,1.27669345579793,-1.829,2995,"Bentley",7,6,6
