"file_name","V3","V4","V8","V12","V14","V20"
"16_10_Chevrolet$$Aveo$$2009$$Silver$$16_2$$49$$image_2.jpg",-1.4749122,-0.70187104,0.72900504,-1.0015482,0.9088236,0.8628062
"29_34_Ford$$Transit Connect$$2015$$Silver$$29_36$$9$$image_0.jpg",0.11211686,-0.17934704,1.340121,1.8131375,3.2958012,-0.49695417
"Abarth$$595$$2014$$Grey$$2_4$$206$$image_11.jpg",-0.8748739,0.19224128,0.35432893,2.45725,-0.2826113,0.69519967
"Abarth$$595$$2015$$White$$2_4$$202$$image_1.jpg",0.7658345,-1.8915128,1.0787996,2.0511177,0.60607415,-0.023761528
"Abarth$$595$$2015$$White$$2_4$$31$$image_6.jpg",0.39415848,-1.3780242,1.1654583,0.14949486,1.2242898,-0.06481166
"Abarth$$595$$2016$$White$$2_4$$234$$image_0.jpg",0.3450743,-1.1572582,0.5931519,1.4911916,1.26314,0.5088752
"Abarth$$595$$2017$$White$$2_4$$13$$image_3.jpg",2.2509487,-0.9755519,0.57847375,-0.6570623,1.2463331,-1.0758353
"Abarth$$595$$2019$$Grey$$2_4$$318$$image_16.jpg",0.91644037,-1.5954543,0.9227145,0.42213812,2.1896417,0.48299888
"Abarth$$595$$2019$$White$$2_4$$328$$image_28.jpg",-0.116055295,-0.38233685,1.67689,2.2688487,0.9612436,-0.62423927
"Abarth$$595$$2019$$White$$2_4$$328$$image_48.jpg",-0.116055295,-0.38233685,1.67689,2.2688487,0.9612436,-0.62423927
"Abarth$$595$$2019$$White$$2_4$$328$$image_68.jpg",-0.116055295,-0.38233685,1.67689,2.2688487,0.9612436,-0.62423927
"Abarth$$595$$2019$$White$$2_4$$328$$image_8.jpg",-0.116055295,-0.38233685,1.67689,2.2688487,0.9612436,-0.62423927
"Abarth$$595$$2019$$White$$2_4$$328$$image_88.jpg",-0.116055295,-0.38233685,1.67689,2.2688487,0.9612436,-0.62423927
"Abarth$$595$$2019$$White$$2_4$$341$$image_2.jpg",-0.19498576,-1.8430445,1.5052077,0.5602306,2.8299944,0.38128904
"Alfa Romeo$$159$$2007$$Grey$$4_4$$48$$image_28.jpg",-2.7670882,-1.2160379,-1.5647551,1.0327786,0.7867042,0.82461387
"Alfa Romeo$$159$$2008$$Black$$4_4$$12$$image_0.jpg",-0.58121413,1.1580878,-1.3769276,-1.9228617,-0.07785721,0.34984103
"Alfa Romeo$$Giulia$$2017$$Silver$$4_10$$23$$image_0.jpg",0.8217397,-1.3710705,-2.2252347,-0.73327327,-1.2343125,1.6265182
"Alfa Romeo$$Giulia$$2017$$White$$4_10$$107$$image_0.jpg",-1.3185724,-1.5759503,-3.1124694,0.18175027,-2.8746088,1.3857797
"Alfa Romeo$$Giulia$$2017$$White$$4_10$$85$$image_5.jpg",0.6750488,-0.9568423,-3.4552572,0.60685706,-2.2430685,1.8451126
"Alfa Romeo$$Giulia$$2018$$White$$4_10$$39$$image_0.jpg",0.003973972,-0.8724817,-3.2837813,-0.17132221,-2.8415792,1.1845459
"Alfa Romeo$$Giulia$$2018$$White$$4_10$$71$$image_2.jpg",0.4299909,-0.29551464,-2.4810917,-0.762321,-2.217067,0.40056238
"Alfa Romeo$$Giulia$$2018$$White$$4_10$$94$$image_6.jpg",0.7834152,-1.5461215,-2.3615618,0.88648224,-1.6068932,1.8623306
"Alfa Romeo$$Giulia$$2019$$Silver$$4_10$$166$$image_13.jpg",1.1281965,0.040575273,-1.1332777,-0.08592719,-0.06710175,-0.10821648
"Alfa Romeo$$Giulia$$2019$$White$$4_10$$143$$image_7.jpg",-1.8135357,-0.8277029,-1.5740019,1.228935,-2.0430958,0.025120197
"Alfa Romeo$$Giulia$$2019$$White$$4_10$$149$$image_6.jpg",0.6362555,0.040247507,-1.2066226,-0.4246587,-0.29741928,-0.14681883
"Alfa Romeo$$Giulia$$2019$$White$$4_10$$180$$image_5.jpg",-2.0475266,-2.6881726,-1.7747165,1.633553,-1.5565867,1.2033149
"Alfa Romeo$$Giulietta$$2010$$White$$4_11$$226$$image_1.jpg",0.30278933,-0.60451937,-1.7762908,0.110057,-0.4242064,0.073911846
"Alfa Romeo$$Giulietta$$2011$$Silver$$4_11$$124$$image_1.jpg",-1.3279986,-1.9349234,-1.1996131,1.5527937,-1.1861503,0.4452081
"Alfa Romeo$$Giulietta$$2013$$White$$4_11$$138$$image_1.jpg",-2.3028011,-1.0646564,-0.84439915,0.67284536,-1.3559304,-0.35990718
"Alfa Romeo$$Giulietta$$2015$$Silver$$4_11$$64$$image_0.jpg",-0.93505865,-0.4205881,-0.32389072,2.139787,-0.806568,-0.36961928
"Alfa Romeo$$Giulietta$$2015$$White$$4_11$$304$$image_9.jpg",0.41034108,-0.84159935,-1.544281,0.2353816,-0.28525496,-0.7596316
"Alfa Romeo$$Giulietta$$2015$$White$$4_11$$34$$image_12.jpg",0.74047875,-0.6899122,-1.6629611,-0.21951322,-0.0110846795,-0.05694942
"Alfa Romeo$$Giulietta$$2015$$White$$4_11$$34$$image_22.jpg",0.84352416,-0.7946514,-1.3895806,-0.28726232,-0.31887522,-0.19771124
