"file_name","V2","V6","V7","V18","V19"
"16_10_Chevrolet$$Aveo$$2009$$Silver$$16_2$$49$$image_2.jpg",-0.09055922,-1.2520341,-0.7365357,0.7575237,0.16462901
"29_34_Ford$$Transit Connect$$2015$$Silver$$29_36$$9$$image_0.jpg",-1.993786,-1.8656876,-1.4396423,-0.08185821,-0.09741689
"Abarth$$595$$2014$$Grey$$2_4$$206$$image_11.jpg",0.3554178,-0.021412747,-0.55389273,-0.29655424,-1.0556728
"Abarth$$595$$2015$$White$$2_4$$202$$image_1.jpg",-1.134395,0.71435916,-0.98316175,1.8692068,-0.99339765
"Abarth$$595$$2015$$White$$2_4$$31$$image_6.jpg",-1.3599381,-0.11582442,-0.9759856,1.2892013,0.019803317
"Abarth$$595$$2016$$White$$2_4$$234$$image_0.jpg",-1.4372076,-0.057343274,-0.57998365,0.98591036,-1.1609123
"Abarth$$595$$2017$$White$$2_4$$13$$image_3.jpg",-2.6098766,1.0356867,-0.97881454,0.91213083,0.9767362
"Abarth$$595$$2019$$Grey$$2_4$$318$$image_16.jpg",-2.3311696,-0.27221397,-0.64768916,1.2467117,-0.7126062
"Abarth$$595$$2019$$White$$2_4$$328$$image_28.jpg",-0.8876106,-0.28614512,-1.626139,0.09968543,-0.71788687
"Abarth$$595$$2019$$White$$2_4$$328$$image_48.jpg",-0.8876106,-0.28614512,-1.626139,0.09968543,-0.71788687
"Abarth$$595$$2019$$White$$2_4$$328$$image_68.jpg",-0.8876106,-0.28614512,-1.626139,0.09968543,-0.71788687
"Abarth$$595$$2019$$White$$2_4$$328$$image_8.jpg",-0.8876106,-0.28614512,-1.626139,0.09968543,-0.71788687
"Abarth$$595$$2019$$White$$2_4$$328$$image_88.jpg",-0.8876106,-0.28614512,-1.626139,0.09968543,-0.71788687
"Abarth$$595$$2019$$White$$2_4$$341$$image_2.jpg",-1.8343939,-1.4006299,-1.2511076,1.5570579,-0.49848402
"Alfa Romeo$$159$$2007$$Grey$$4_4$$48$$image_28.jpg",0.5125852,-2.0722933,1.4509174,1.1519777,-0.6446708
"Alfa Romeo$$159$$2008$$Black$$4_4$$12$$image_0.jpg",0.24448808,-0.4325511,1.6543306,-1.8612088,0.5364665
"Alfa Romeo$$Giulia$$2017$$Silver$$4_10$$23$$image_0.jpg",0.51846725,1.1612818,1.9336237,1.296113,-0.28988218
"Alfa Romeo$$Giulia$$2017$$White$$4_10$$107$$image_0.jpg",2.369569,0.6651437,2.3742557,2.0030026,-0.07103457
"Alfa Romeo$$Giulia$$2017$$White$$4_10$$85$$image_5.jpg",1.3497974,1.3545779,2.4442906,1.0191653,-0.66632503
"Alfa Romeo$$Giulia$$2018$$White$$4_10$$39$$image_0.jpg",1.9140333,1.4074574,2.4842846,1.1065975,0.014666075
"Alfa Romeo$$Giulia$$2018$$White$$4_10$$71$$image_2.jpg",1.7188281,1.4269832,2.2234926,0.30707413,0.27594915
"Alfa Romeo$$Giulia$$2018$$White$$4_10$$94$$image_6.jpg",0.74698675,1.3155462,1.9528378,1.5174614,-0.92874664
"Alfa Romeo$$Giulia$$2019$$Silver$$4_10$$166$$image_13.jpg",-0.49175942,1.39633,1.1008254,-0.4391972,0.69996053
"Alfa Romeo$$Giulia$$2019$$White$$4_10$$143$$image_7.jpg",2.3366094,-0.13481104,1.5123522,1.0936737,-0.23219658
"Alfa Romeo$$Giulia$$2019$$White$$4_10$$149$$image_6.jpg",-0.12498498,0.9177081,1.279425,-0.28955486,0.8037509
"Alfa Romeo$$Giulia$$2019$$White$$4_10$$180$$image_5.jpg",1.4482651,-0.24090883,1.4797804,2.8054063,-0.92113215
"Alfa Romeo$$Giulietta$$2010$$White$$4_11$$226$$image_1.jpg",0.065639965,0.7432605,1.6081021,0.19142999,0.39456716
"Alfa Romeo$$Giulietta$$2011$$Silver$$4_11$$124$$image_1.jpg",0.7959553,-0.07831901,1.1123267,1.7528725,-0.5670518
"Alfa Romeo$$Giulietta$$2013$$White$$4_11$$138$$image_1.jpg",1.8301859,-0.86699027,0.6859004,1.0164553,0.42613947
"Alfa Romeo$$Giulietta$$2015$$Silver$$4_11$$64$$image_0.jpg",0.8083431,-0.12913997,-0.04669693,0.23056577,-0.3854329
