"file_name","V6","V8","V12","V15","V16"
"16_10_Chevrolet$$Aveo$$2009$$Silver$$16_2$$49$$image_2.jpg",-0.26412845,1.0038229,-0.56991935,0.73673743,0.68928754
"29_34_Ford$$Transit Connect$$2015$$Silver$$29_36$$9$$image_0.jpg",-0.14205801,0.68246484,0.077914104,-0.25832713,3.4150865
"Abarth$$595$$2014$$Grey$$2_4$$206$$image_11.jpg",-0.5399155,0.2911303,0.4843295,-0.9026794,-0.23970942
"Abarth$$595$$2015$$White$$2_4$$202$$image_1.jpg",-1.0831301,-0.9493731,-1.627931,-1.1340028,0.4473758
"Abarth$$595$$2015$$White$$2_4$$31$$image_6.jpg",-0.92126304,-0.7239137,-1.3179879,0.2509761,0.90301174
"Abarth$$595$$2016$$White$$2_4$$234$$image_0.jpg",-0.76039356,-0.48963115,-0.9545558,-0.97985923,0.9846576
"Abarth$$595$$2017$$White$$2_4$$13$$image_3.jpg",-0.6048215,-1.8223728,-1.1110424,1.2710966,1.3752254
"Abarth$$595$$2019$$Grey$$2_4$$318$$image_16.jpg",-0.9265094,-0.8543191,-1.5761195,-0.6239261,1.613784
"Abarth$$595$$2019$$White$$2_4$$328$$image_28.jpg",-1.5198629,-0.015696842,-0.08348259,-0.625557,0.7881408
"Abarth$$595$$2019$$White$$2_4$$328$$image_48.jpg",-1.5198629,-0.015696842,-0.08348259,-0.625557,0.7881408
"Abarth$$595$$2019$$White$$2_4$$328$$image_68.jpg",-1.5198629,-0.015696842,-0.08348259,-0.625557,0.7881408
"Abarth$$595$$2019$$White$$2_4$$328$$image_8.jpg",-1.5198629,-0.015696842,-0.08348259,-0.625557,0.7881408
"Abarth$$595$$2019$$White$$2_4$$328$$image_88.jpg",-1.5198629,-0.015696842,-0.08348259,-0.625557,0.7881408
"Abarth$$595$$2019$$White$$2_4$$341$$image_2.jpg",-1.029318,0.11722611,-1.8536637,-0.259026,1.7347215
"Alfa Romeo$$159$$2007$$Grey$$4_4$$48$$image_28.jpg",1.4036111,1.9180251,-1.1255709,-0.77004856,0.3068479
"Alfa Romeo$$159$$2008$$Black$$4_4$$12$$image_0.jpg",1.104505,0.41144443,2.2036924,0.7754393,-0.02786221
"Alfa Romeo$$Giulia$$2017$$Silver$$4_10$$23$$image_0.jpg",1.8186256,-1.1112124,-1.1234351,-0.46388912,-1.0071069
"Alfa Romeo$$Giulia$$2017$$White$$4_10$$107$$image_0.jpg",2.2645667,0.33300537,-1.2137834,-0.5471263,-2.0493455
"Alfa Romeo$$Giulia$$2017$$White$$4_10$$85$$image_5.jpg",2.1804214,-0.96315247,-0.6772895,-1.0233965,-1.6899469
