"file_name","V7","V11","V14","V19","V20"
"16_10_Chevrolet$$Aveo$$2009$$Silver$$16_2$$49$$image_2.jpg",-0.55147946,-0.67190397,-0.91864276,0.7409904,-0.46390042
"29_34_Ford$$Transit Connect$$2015$$Silver$$29_36$$9$$image_0.jpg",-3.9412868,-0.096478984,-0.6282532,1.2003751,-0.06449792
"Abarth$$595$$2014$$Grey$$2_4$$206$$image_11.jpg",0.21718378,0.5170122,-0.2576251,0.524559,0.7738073
"Abarth$$595$$2015$$White$$2_4$$202$$image_1.jpg",-0.35490543,-1.6663524,1.1448834,0.8711558,0.63020134
"Abarth$$595$$2015$$White$$2_4$$31$$image_6.jpg",-1.0212585,-1.2581657,0.877308,0.94395053,-0.3947801
"Abarth$$595$$2016$$White$$2_4$$234$$image_0.jpg",-0.9509545,-0.92520934,0.5709968,0.45696327,0.79314995
"Abarth$$595$$2017$$White$$2_4$$13$$image_3.jpg",-1.3370355,-0.72035456,1.995974,0.88281476,-0.8364054
"Abarth$$595$$2019$$Grey$$2_4$$318$$image_16.jpg",-1.5334294,-1.3980697,1.0300909,0.72152203,0.39165303
"Abarth$$595$$2019$$White$$2_4$$328$$image_28.jpg",-0.7916792,-0.022688445,-0.05379644,1.4190496,0.28334114
"Abarth$$595$$2019$$White$$2_4$$328$$image_48.jpg",-0.7916792,-0.022688445,-0.05379644,1.4190496,0.28334114
"Abarth$$595$$2019$$White$$2_4$$328$$image_68.jpg",-0.7916792,-0.022688445,-0.05379644,1.4190496,0.28334114
"Abarth$$595$$2019$$White$$2_4$$328$$image_8.jpg",-0.7916792,-0.022688445,-0.05379644,1.4190496,0.28334114
"Abarth$$595$$2019$$White$$2_4$$328$$image_88.jpg",-0.7916792,-0.022688445,-0.05379644,1.4190496,0.28334114
"Abarth$$595$$2019$$White$$2_4$$341$$image_2.jpg",-2.1207204,-2.1135147,-0.25160486,0.9484069,-0.03370655
"Alfa Romeo$$159$$2007$$Grey$$4_4$$48$$image_28.jpg",-0.43663383,-1.0793687,-1.896215,-1.4907836,0.5934645
"Alfa Romeo$$159$$2008$$Black$$4_4$$12$$image_0.jpg",-0.1323241,1.87075,-0.32178223,-1.409187,-0.5821793
